nb_steps,terminated,nb_sent_msgs_comm_1,nb_sent_msgs_comm_2
98,True,0,0
159,True,0,0
276,True,0,0
63,True,0,0
85,True,0,0
242,True,0,0
96,True,0,0
96,True,0,0
61,True,0,0
141,True,0,0
175,True,0,0
62,True,0,0
167,True,0,0
124,True,0,0
98,True,0,0
91,True,0,0
206,True,0,0
131,True,0,0
38,True,0,0
193,True,0,0
146,True,0,0
126,True,0,0
125,True,0,0
126,True,0,0
225,True,0,0
56,True,0,0
55,True,0,0
81,True,0,0
41,True,0,0
175,True,0,0
138,True,0,0
164,True,0,0
102,True,0,0
229,True,0,0
48,True,0,0
106,True,0,0
67,True,0,0
89,True,0,0
59,True,0,0
309,True,0,0
156,True,0,0
110,True,0,0
77,True,0,0
74,True,0,0
101,True,0,0
139,True,0,0
93,True,0,0
60,True,0,0
148,True,0,0
78,True,0,0
66,True,0,0
65,True,0,0
99,True,0,0
62,True,0,0
105,True,0,0
135,True,0,0
54,True,0,0
157,True,0,0
326,True,0,0
92,True,0,0
59,True,0,0
62,True,0,0
107,True,0,0
52,True,0,0
60,True,0,0
66,True,0,0
44,True,0,0
83,True,0,0
88,True,0,0
136,True,0,0
67,True,0,0
81,True,0,0
75,True,0,0
89,True,0,0
46,True,0,0
40,True,0,0
144,True,0,0
91,True,0,0
188,True,0,0
69,True,0,0
52,True,0,0
146,True,0,0
141,True,0,0
87,True,0,0
46,True,0,0
64,True,0,0
64,True,0,0
33,True,0,0
36,True,0,0
79,True,0,0
178,True,0,0
111,True,0,0
69,True,0,0
146,True,0,0
63,True,0,0
92,True,0,0
274,True,0,0
112,True,0,0
137,True,0,0
72,True,0,0
179,True,0,0
148,True,0,0
168,True,0,0
122,True,0,0
212,True,0,0
99,True,0,0
70,True,0,0
128,True,0,0
53,True,0,0
39,True,0,0
61,True,0,0
38,True,0,0
72,True,0,0
53,True,0,0
41,True,0,0
88,True,0,0
53,True,0,0
95,True,0,0
151,True,0,0
92,True,0,0
81,True,0,0
297,True,0,0
110,True,0,0
184,True,0,0
113,True,0,0
81,True,0,0
73,True,0,0
102,True,0,0
127,True,0,0
238,True,0,0
71,True,0,0
53,True,0,0
81,True,0,0
441,True,0,0
106,True,0,0
81,True,0,0
135,True,0,0
66,True,0,0
93,True,0,0
295,True,0,0
156,True,0,0
66,True,0,0
125,True,0,0
153,True,0,0
138,True,0,0
83,True,0,0
130,True,0,0
104,True,0,0
173,True,0,0
44,True,0,0
58,True,0,0
291,True,0,0
97,True,0,0
85,True,0,0
123,True,0,0
72,True,0,0
237,True,0,0
147,True,0,0
80,True,0,0
189,True,0,0
56,True,0,0
46,True,0,0
114,True,0,0
213,True,0,0
112,True,0,0
96,True,0,0
70,True,0,0
64,True,0,0
186,True,0,0
46,True,0,0
44,True,0,0
63,True,0,0
95,True,0,0
49,True,0,0
74,True,0,0
303,True,0,0
168,True,0,0
87,True,0,0
64,True,0,0
135,True,0,0
60,True,0,0
135,True,0,0
109,True,0,0
51,True,0,0
145,True,0,0
49,True,0,0
294,True,0,0
133,True,0,0
225,True,0,0
57,True,0,0
152,True,0,0
101,True,0,0
182,True,0,0
158,True,0,0
140,True,0,0
206,True,0,0
180,True,0,0
250,True,0,0
93,True,0,0
124,True,0,0
63,True,0,0
84,True,0,0
62,True,0,0
321,True,0,0
133,True,0,0
94,True,0,0
136,True,0,0
63,True,0,0
185,True,0,0
187,True,0,0
132,True,0,0
68,True,0,0
46,True,0,0
58,True,0,0
87,True,0,0
64,True,0,0
100,True,0,0
55,True,0,0
210,True,0,0
90,True,0,0
146,True,0,0
51,True,0,0
108,True,0,0
89,True,0,0
86,True,0,0
186,True,0,0
128,True,0,0
153,True,0,0
337,True,0,0
240,True,0,0
156,True,0,0
207,True,0,0
85,True,0,0
125,True,0,0
117,True,0,0
123,True,0,0
103,True,0,0
45,True,0,0
173,True,0,0
109,True,0,0
110,True,0,0
215,True,0,0
140,True,0,0
115,True,0,0
100,True,0,0
109,True,0,0
229,True,0,0
153,True,0,0
206,True,0,0
95,True,0,0
64,True,0,0
54,True,0,0
51,True,0,0
45,True,0,0
167,True,0,0
56,True,0,0
149,True,0,0
121,True,0,0
99,True,0,0
116,True,0,0
136,True,0,0
69,True,0,0
142,True,0,0
146,True,0,0
144,True,0,0
86,True,0,0
48,True,0,0
65,True,0,0
116,True,0,0
126,True,0,0
79,True,0,0
148,True,0,0
179,True,0,0
128,True,0,0
229,True,0,0
92,True,0,0
162,True,0,0
139,True,0,0
72,True,0,0
68,True,0,0
53,True,0,0
93,True,0,0
70,True,0,0
78,True,0,0
150,True,0,0
45,True,0,0
123,True,0,0
60,True,0,0
44,True,0,0
41,True,0,0
97,True,0,0
214,True,0,0
131,True,0,0
58,True,0,0
81,True,0,0
124,True,0,0
115,True,0,0
89,True,0,0
159,True,0,0
87,True,0,0
129,True,0,0
177,True,0,0
109,True,0,0
77,True,0,0
44,True,0,0
131,True,0,0
83,True,0,0
118,True,0,0
118,True,0,0
82,True,0,0
98,True,0,0
64,True,0,0
81,True,0,0
156,True,0,0
64,True,0,0
60,True,0,0
144,True,0,0
231,True,0,0
143,True,0,0
100,True,0,0
136,True,0,0
168,True,0,0
185,True,0,0
60,True,0,0
77,True,0,0
110,True,0,0
128,True,0,0
88,True,0,0
115,True,0,0
187,True,0,0
73,True,0,0
125,True,0,0
98,True,0,0
44,True,0,0
52,True,0,0
126,True,0,0
97,True,0,0
96,True,0,0
126,True,0,0
35,True,0,0
225,True,0,0
84,True,0,0
55,True,0,0
60,True,0,0
45,True,0,0
99,True,0,0
136,True,0,0
71,True,0,0
61,True,0,0
153,True,0,0
108,True,0,0
161,True,0,0
94,True,0,0
99,True,0,0
121,True,0,0
39,True,0,0
86,True,0,0
172,True,0,0
160,True,0,0
99,True,0,0
88,True,0,0
75,True,0,0
43,True,0,0
144,True,0,0
224,True,0,0
89,True,0,0
77,True,0,0
139,True,0,0
128,True,0,0
66,True,0,0
63,True,0,0
47,True,0,0
52,True,0,0
171,True,0,0
80,True,0,0
130,True,0,0
108,True,0,0
111,True,0,0
230,True,0,0
74,True,0,0
93,True,0,0
206,True,0,0
177,True,0,0
43,True,0,0
101,True,0,0
121,True,0,0
68,True,0,0
139,True,0,0
79,True,0,0
67,True,0,0
151,True,0,0
50,True,0,0
158,True,0,0
47,True,0,0
55,True,0,0
103,True,0,0
118,True,0,0
64,True,0,0
183,True,0,0
68,True,0,0
108,True,0,0
188,True,0,0
161,True,0,0
136,True,0,0
113,True,0,0
154,True,0,0
133,True,0,0
74,True,0,0
89,True,0,0
208,True,0,0
76,True,0,0
38,True,0,0
163,True,0,0
123,True,0,0
83,True,0,0
62,True,0,0
156,True,0,0
87,True,0,0
50,True,0,0
144,True,0,0
221,True,0,0
400,True,0,0
54,True,0,0
40,True,0,0
79,True,0,0
70,True,0,0
67,True,0,0
99,True,0,0
71,True,0,0
74,True,0,0
91,True,0,0
39,True,0,0
178,True,0,0
115,True,0,0
106,True,0,0
224,True,0,0
67,True,0,0
64,True,0,0
51,True,0,0
168,True,0,0
156,True,0,0
196,True,0,0
54,True,0,0
218,True,0,0
65,True,0,0
66,True,0,0
228,True,0,0
64,True,0,0
117,True,0,0
53,True,0,0
112,True,0,0
146,True,0,0
89,True,0,0
78,True,0,0
107,True,0,0
217,True,0,0
258,True,0,0
51,True,0,0
228,True,0,0
121,True,0,0
105,True,0,0
53,True,0,0
46,True,0,0
173,True,0,0
77,True,0,0
193,True,0,0
44,True,0,0
172,True,0,0
55,True,0,0
164,True,0,0
46,True,0,0
49,True,0,0
139,True,0,0
91,True,0,0
168,True,0,0
66,True,0,0
199,True,0,0
93,True,0,0
98,True,0,0
65,True,0,0
160,True,0,0
104,True,0,0
94,True,0,0
243,True,0,0
47,True,0,0
93,True,0,0
130,True,0,0
84,True,0,0
47,True,0,0
96,True,0,0
177,True,0,0
223,True,0,0
179,True,0,0
42,True,0,0
59,True,0,0
92,True,0,0
52,True,0,0
92,True,0,0
137,True,0,0
78,True,0,0
81,True,0,0
60,True,0,0
84,True,0,0
71,True,0,0
186,True,0,0
116,True,0,0
119,True,0,0
69,True,0,0
187,True,0,0
116,True,0,0
100,True,0,0
83,True,0,0
108,True,0,0
78,True,0,0
95,True,0,0
80,True,0,0
90,True,0,0
49,True,0,0
49,True,0,0
79,True,0,0
57,True,0,0
113,True,0,0
242,True,0,0
288,True,0,0
128,True,0,0
219,True,0,0
61,True,0,0
105,True,0,0
50,True,0,0
290,True,0,0
117,True,0,0
146,True,0,0
129,True,0,0
56,True,0,0
162,True,0,0
38,True,0,0
207,True,0,0
78,True,0,0
80,True,0,0
50,True,0,0
73,True,0,0
106,True,0,0
151,True,0,0
98,True,0,0
55,True,0,0
69,True,0,0
84,True,0,0
54,True,0,0
70,True,0,0
96,True,0,0
150,True,0,0
224,True,0,0
172,True,0,0
59,True,0,0
255,True,0,0
50,True,0,0
213,True,0,0
102,True,0,0
172,True,0,0
86,True,0,0
129,True,0,0
114,True,0,0
122,True,0,0
104,True,0,0
163,True,0,0
110,True,0,0
145,True,0,0
82,True,0,0
48,True,0,0
113,True,0,0
105,True,0,0
183,True,0,0
118,True,0,0
70,True,0,0
210,True,0,0
44,True,0,0
165,True,0,0
72,True,0,0
46,True,0,0
51,True,0,0
72,True,0,0
